year;month;period;isAnnual
2000;;2000;True
2001;;2001;True
2002;;2002;True
2003;;2003;True
2004;;2004;True
2005;;2005;True
2006;;2006;True
2007;;2007;True
2008;;2008;True
2009;;2009;True
2010;;2010;True
2010;1;201001;False
2010;2;201002;False
2010;3;201003;False
2010;4;201004;False
2010;5;201005;False
2010;6;201006;False
2010;7;201007;False
2010;8;201008;False
2010;9;201009;False
2010;10;201010;False
2010;11;201011;False
2010;12;201012;False
2011;;2011;True
2011;1;201101;False
2011;2;201102;False
2011;3;201103;False
2011;4;201104;False
2011;5;201105;False
2011;6;201106;False
2011;7;201107;False
2011;8;201108;False
2011;9;201109;False
2011;10;201110;False
2011;11;201111;False
2011;12;201112;False
2012;;2012;True
2012;1;201201;False
2012;2;201202;False
2012;3;201203;False
2012;4;201204;False
2012;5;201205;False
2012;6;201206;False
2012;7;201207;False
2012;8;201208;False
2012;9;201209;False
2012;10;201210;False
2012;11;201211;False
2012;12;201212;False
2013;;2013;True
2013;1;201301;False
2013;2;201302;False
2013;3;201303;False
2013;4;201304;False
2013;5;201305;False
2013;6;201306;False
2013;7;201307;False
2013;8;201308;False
2013;9;201309;False
2013;10;201310;False
2013;11;201311;False
2013;12;201312;False
2014;;2014;True
2014;1;201401;False
2014;2;201402;False
2014;3;201403;False
2014;4;201404;False
2014;5;201405;False
2014;6;201406;False
2014;7;201407;False
2014;8;201408;False
2014;9;201409;False
2014;10;201410;False
2014;11;201411;False
2014;12;201412;False
2015;;2015;True
2015;1;201501;False
2015;2;201502;False
2015;3;201503;False
2015;4;201504;False
2015;5;201505;False
2015;6;201506;False
2015;7;201507;False
2015;8;201508;False
2015;9;201509;False
2015;10;201510;False
2015;11;201511;False
2015;12;201512;False
2016;;2016;True
2016;1;201601;False
2016;2;201602;False
2016;3;201603;False
2016;4;201604;False
2016;5;201605;False
2016;6;201606;False
2016;7;201607;False
2016;8;201608;False
2016;9;201609;False
2016;10;201610;False
2016;11;201611;False
2016;12;201612;False
2017;;2017;True
2017;1;201701;False
2017;2;201702;False
2017;3;201703;False
2017;4;201704;False
2017;5;201705;False
2017;6;201706;False
2017;7;201707;False
2017;8;201708;False
2017;9;201709;False
2017;10;201710;False
2017;11;201711;False
2017;12;201712;False
2018;;2018;True
2018;1;201801;False
2018;2;201802;False
2018;3;201803;False
2018;4;201804;False
2018;5;201805;False
2018;6;201806;False
2018;7;201807;False
2018;8;201808;False
2018;9;201809;False
2018;10;201810;False
2018;11;201811;False
2018;12;201812;False
2019;;2019;True
2019;1;201901;False
2019;2;201902;False
2019;3;201903;False
2019;4;201904;False
2019;5;201905;False
2019;6;201906;False
2019;7;201907;False
2019;8;201908;False
2019;9;201909;False
2019;10;201910;False
2019;11;201911;False
2019;12;201912;False
2020;;2020;True
2020;1;202001;False
2020;2;202002;False
2020;3;202003;False
2020;4;202004;False
2020;5;202005;False
2020;6;202006;False
2020;7;202007;False
2020;8;202008;False
2020;9;202009;False
2020;10;202010;False
2020;11;202011;False
2020;12;202012;False
2021;;2021;True
2021;1;202101;False
2021;2;202102;False
2021;3;202103;False
2021;4;202104;False
2021;5;202105;False
2021;6;202106;False
2021;7;202107;False
2021;8;202108;False
2021;9;202109;False
2021;10;202110;False
2021;11;202111;False
2021;12;202112;False
2022;;2022;True
2022;1;202201;False
2022;2;202202;False
2022;3;202203;False
2022;4;202204;False
2022;5;202205;False
2022;6;202206;False
2022;7;202207;False
2022;8;202208;False
2022;9;202209;False
2022;10;202210;False
2022;11;202211;False
2022;12;202212;False
2023;;2023;True
2023;1;202301;False
2023;2;202302;False
2023;3;202303;False
2023;4;202304;False
2023;5;202305;False
2023;6;202306;False
2023;7;202307;False
2023;8;202308;False
2023;9;202309;False
2023;10;202310;False
2023;11;202311;False
2023;12;202312;False
2024;;2024;True
2024;1;202401;False
2024;2;202402;False
2024;3;202403;False
2024;4;202404;False
2024;5;202405;False
2024;6;202406;False
2024;7;202407;False
2024;8;202408;False
2024;9;202409;False
2024;10;202410;False
2024;11;202411;False
2024;12;202412;False
2025;;2025;True
2025;1;202501;False
2025;2;202502;False
2025;3;202503;False
2025;4;202504;False
2025;5;202505;False
2025;6;202506;False
2025;7;202507;False
2025;8;202508;False
2025;9;202509;False
2025;10;202510;False
2025;11;202511;False
2025;12;202512;False
