qtyUnitCode,qtyAbbr,qtyDescription
-1,,Not available or not specified or no quantity.
2,m²,Area in square meters
3,1000 kWh,Electrical energy in thousands of kilowatt-hours
4,m,Length in meters
5,u,Number of items
6,2u,Number of pairs
7,l,Volume in liters
8,kg,Weight in kilograms
9,1000u,Thousand of items
10,U (jeu/pack),Number of packages
11,12u,Dozen of items
12,m³,Volume in cubic meters
13,carat,Weight in carats
14,km,Length in Kilometers
15,g,Weight in grams
16,hive,Beehive
17,1000 m³,Volume in thousand cubic meters
18,TJ,Terajoule (gross calorific value)
19,BBL,Barrels
20,1000 L,Volume in thousands of liters
21,1000 KG,Weight in thousand of kilograms
22,kWH,Electrical energy in kilowatt-hours
23,l alc 100%,Litre pure (100 %) alcohol - l alc. 100%
24,head,Head
25,kg/net eda,Kilogram drained net weight
26,kg C5H14ClNO,Kilogram of choline chloride
27,kg P2O5,Kilogram of diphosphorus pentaoxide
28,kg H2O2,Kilogram of hydrogen peroxide
29,kg met.am.,Kilogram of methylamines
30,kg N,Kilogram of nitrogen
31,kg KOH,Kilogram of potassium hydroxide (caustic potash)
32,kg K2O,Kilogram of potassium oxide
33,kg NaOH,Kilogram of sodium hydroxide (caustic soda)
34,kg 90% sdt,Kilogram of substance 90 % dry
35,kg U,Kilogram of uranium
36,ct/l,Carrying capacity in tonnes
37,Bq,Becquerels
38,gi F/S,Gram of fissile isotopes
39,GRT,Gross register ton
40,GT,Gross tonnage
41,ce/el,Number of cells/elements
